conceptUri,preferredLabel,altLabels,skillType,reuseLevel,description
http://data.europa.eu/esco/skill/04dcfb3b-d6ac-4044-a35f-a633d3816c28,advise on bankruptcy proceedings,"offer suggestions on bankruptcy proceedings
give recommendations on bankruptcy proceedings
advise on proceedings on bankruptcy
counsel on bankruptcy proceedings
advise on bankruptcy proceeding
advising on bankruptcy proceedings",skill/competence,cross-sector,"Guide and advise clients on the formalities, procedures and the actions that can ameliorate the losses in case of bankruptcy."
http://data.europa.eu/esco/skill/04dd3f36-7056-4824-9eee-b0312d4a25b7,sell processed timber in a commercial environment,"processed timber selling in a commercial environment
selling processed timber in a commercial environment
sell processed lumber in a commercial environment
sell timber and timber-based products in a commercial environment
selling processed timber in a commercial setting
sell processed timber in a commercial setting",skill/competence,cross-sector,Check that the sales area is in a suitable condition for customers and that the stock and materials are in a suitable condition to be sold.
http://data.europa.eu/esco/skill/04e52ec7-5107-455b-a943-8004015d5b26,develop policies for nutritional programs,"elaborate nutriton programs
invent a strategy for nutritional programs
design policies for nutritional programs
develop strategies for nutritional programs
elaborate policies for nutritional programs
create policies for nutritional programs
invent policies for nutritional programs
create policies for food service
develop policies for nutritional measures",skill/competence,cross-sector,Develop policies for food service or nutritional programs to assist in health promotion and disease control.
http://data.europa.eu/esco/skill/04e84553-2795-4098-b0ad-e7921628b32c,support harmed social service users,"offer support to harmed social service users
support abused social service users
support harmed socialcare users
support harmed social care user",skill/competence,cross-sector,Take action where there are concerns that individuals are at risk of harm or abuse and support those who make a disclosure.
http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,design electrical systems,"draw electrical systems
designing electrical systems
drawing electrical systems
electrical system drawing
electrical systems drawing
electrical systems designing
electrical system designing",skill/competence,cross-sector,"Draft sketches and design electrical systems, products, and components using Computer Aided Design (CAD) software and equipment. Draw panel arrangement layouts, electrical schematics, electrical wiring diagrams, and other assembly details."
http://data.europa.eu/esco/skill/0520d8ba-3c24-4f75-a8b0-f883ddeed82d,audit contractors,"ensure contractors comply with regulatory standards through auditing
assess contractors through auditing
examine contractors to determine compliance with regulations
examine contractors
perform audits on contractors
review contractors
scrutinise contractors
conduct auditing activities on contractors
analyse contractors",skill/competence,cross-sector,"Examine and document different industry contractors, in order to determine whether they comply with regulations and standards in relation to safety, environment and quality of design, construction and testing, etc."
http://data.europa.eu/esco/skill/05338a70-1ea1-4c33-a886-1c4f0c7d7241,pass on trade techniques,"pass on techniques of a trade
pass on trade approaches
pass on trading techniques
pass on trade routines
pass on trade skills
pass on trade procedures
pass on a trade technique",skill/competence,cross-sector,"Pass on knowledge and skills, explain and demonstrate the application of equipment and materials and answer questions about trade techniques for the manufacturing of products."
http://data.europa.eu/esco/skill/0550431f-9c8b-4204-9c45-59bc5feacf06,continuous improvement philosophies,"a continuous improvement philosophy
continuous improvement policies
continuous improvement processes
continuous improvement systems
continuous improvement philosophy
continuous improvement strategies",knowledge,cross-sector,"Underlying ideas of quality management systems. Implementation process of lean manufacturing, Kanban, Kaizen, Total Quality Management (TQM) and other continuous improvement systems."
http://data.europa.eu/esco/skill/055192dc-f16c-4855-835d-19cac6ff20aa,life sciences,living organisms science,knowledge,cross-sector,"The study of the processes related to cells, molecules and living organisms."
http://data.europa.eu/esco/skill/05a7f9e0-1ebd-4853-890b-c78f37096d51,provide humanitarian aid,"give philanthropic aid
commit humanitarian aid
grant humanitarian aid
give humanitarian aid
commit philanthropic aid
donate humanitarian aid
donate philanthropic aid
grant philanthropic aid",skill/competence,cross-sector,"Provide first-hand aid in dangerous or critical areas to the civilian population, such as handing out food and water, medical resources, setting up aid facilities, evacuation procedures, and ensuring the area's security."
http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,accept criticism and guidance,"accept feedback
welcome criticism
accept constructive criticism
tolerate critics
accept critics
welcome feedback
handle feedback",skill/competence,transversal,"Handle negative feedback from others and react openly to criticism, trying to identify in it potential areas for improvement."
http://data.europa.eu/esco/skill/05c00631-b864-4842-b47e-06710c197c7a,coordinate manufacturing production activities,"coordinate manufacturing production processes
organize manufacturing production activities
coordinate manufacturing processes
organize manufacturing processes
coordinate activities of manufacturing production
organise manufacturing processes
organise manufacturing production activities",skill/competence,cross-sector,"Coordinate manufacturing activities based on production strategies, policies and plans. Study details of the planning such as expected quality of the products, quantities, cost, and labour required to foresee any action needed. Adjust processes and resources to minimise costs."
